# frequency(GHz) eps_real eps_imag mu_real mu_imag
1.0 2.40 0.030 1.000 0.000
2.0 2.42 0.033 1.000 0.000
3.0 2.45 0.036 1.000 0.000
4.0 2.48 0.039 1.000 0.000
5.0 2.52 0.043 1.000 0.000
6.0 2.56 0.047 1.000 0.000
7.0 2.60 0.051 1.000 0.000
8.0 2.64 0.056 1.000 0.000
9.0 2.68 0.061 1.000 0.000
10.0 2.72 0.066 1.000 0.000
11.0 2.76 0.072 1.000 0.000
12.0 2.80 0.078 1.000 0.000
13.0 2.84 0.084 1.000 0.000
14.0 2.88 0.091 1.000 0.000
15.0 2.92 0.098 1.000 0.000
16.0 2.96 0.106 1.000 0.000
17.0 3.00 0.114 1.000 0.000
18.0 3.04 0.122 1.000 0.000
