# frequency(GHz) eps_real eps_imag mu_real mu_imag
1.0 7.80 -0.650 2.350 -0.700
2.0 7.85 -0.690 2.280 -0.740
3.0 7.92 -0.730 2.200 -0.770
4.0 8.00 -0.770 2.100 -0.790
5.0 8.08 -0.810 2.000 -0.800
6.0 8.16 -0.850 1.900 -0.790
7.0 8.24 -0.890 1.800 -0.770
8.0 8.32 -0.930 1.720 -0.740
9.0 8.40 -0.970 1.650 -0.700
10.0 8.48 -1.010 1.580 -0.650
11.0 8.56 -1.040 1.520 -0.590
12.0 8.63 -1.070 1.470 -0.530
13.0 8.70 -1.100 1.420 -0.470
14.0 8.76 -1.120 1.370 -0.410
15.0 8.82 -1.140 1.330 -0.350
16.0 8.87 -1.160 1.290 -0.290
17.0 8.91 -1.170 1.250 -0.230
18.0 8.95 -1.180 1.220 -0.180
