# frequency_GHz eps_real eps_imag mu_real mu_imag
1 1.00 0.0000 1.000 0.0000
2 1.00 0.0000 1.000 0.0000
3 1.00 0.0000 1.000 0.0000
4 1.00 0.0000 1.000 0.0000
5 1.00 0.0000 1.000 0.0000
6 1.00 0.0000 1.000 0.0000
7 1.00 0.0000 1.000 0.0000
8 1.00 0.0000 1.000 0.0000
9 1.00 0.0000 1.000 0.0000
10 1.00 0.0000 1.000 0.0000
11 1.00 0.0000 1.000 0.0000
12 1.00 0.0000 1.000 0.0000
13 1.00 0.0000 1.000 0.0000
14 1.00 0.0000 1.000 0.0000
15 1.00 0.0000 1.000 0.0000
16 1.00 0.0000 1.000 0.0000
17 1.00 0.0000 1.000 0.0000
18 1.00 0.0000 1.000 0.0000
