# Generic carbon-loaded foam approximation (lossy)
# frequency_GHz eps_real eps_imag mu_real mu_imag
1 6.00 1.2000 1.000 0.0000
2 6.00 1.2000 1.000 0.0000
3 6.00 1.2000 1.000 0.0000
4 6.00 1.2000 1.000 0.0000
5 6.00 1.2000 1.000 0.0000
6 6.00 1.2000 1.000 0.0000
7 6.00 1.2000 1.000 0.0000
8 6.00 1.2000 1.000 0.0000
9 6.00 1.2000 1.000 0.0000
10 6.00 1.2000 1.000 0.0000
11 6.00 1.2000 1.000 0.0000
12 6.00 1.2000 1.000 0.0000
13 6.00 1.2000 1.000 0.0000
14 6.00 1.2000 1.000 0.0000
15 6.00 1.2000 1.000 0.0000
16 6.00 1.2000 1.000 0.0000
17 6.00 1.2000 1.000 0.0000
18 6.00 1.2000 1.000 0.0000
