# Generic ferrite tile approximation (lossy)
# frequency_GHz eps_real eps_imag mu_real mu_imag
1 9.00 0.9000 1.300 0.2500
2 9.00 0.9000 1.300 0.2500
3 9.00 0.9000 1.300 0.2500
4 9.00 0.9000 1.300 0.2500
5 9.00 0.9000 1.300 0.2500
6 9.00 0.9000 1.300 0.2500
7 9.00 0.9000 1.300 0.2500
8 9.00 0.9000 1.300 0.2500
9 9.00 0.9000 1.300 0.2500
10 9.00 0.9000 1.300 0.2500
11 9.00 0.9000 1.300 0.2500
12 9.00 0.9000 1.300 0.2500
13 9.00 0.9000 1.300 0.2500
14 9.00 0.9000 1.300 0.2500
15 9.00 0.9000 1.300 0.2500
16 9.00 0.9000 1.300 0.2500
17 9.00 0.9000 1.300 0.2500
18 9.00 0.9000 1.300 0.2500
