# Typical FR4 approximation (not manufacturer-specific)
# frequency_GHz eps_real eps_imag mu_real mu_imag
1 4.30 0.0860 1.000 0.0000
2 4.30 0.0860 1.000 0.0000
3 4.30 0.0860 1.000 0.0000
4 4.30 0.0860 1.000 0.0000
5 4.30 0.0860 1.000 0.0000
6 4.30 0.0860 1.000 0.0000
7 4.30 0.0860 1.000 0.0000
8 4.30 0.0860 1.000 0.0000
9 4.30 0.0860 1.000 0.0000
10 4.30 0.0860 1.000 0.0000
11 4.30 0.0860 1.000 0.0000
12 4.30 0.0860 1.000 0.0000
13 4.30 0.0860 1.000 0.0000
14 4.30 0.0860 1.000 0.0000
15 4.30 0.0860 1.000 0.0000
16 4.30 0.0860 1.000 0.0000
17 4.30 0.0860 1.000 0.0000
18 4.30 0.0860 1.000 0.0000
