# Typical Rogers 5880 approximation
# frequency_GHz eps_real eps_imag mu_real mu_imag
1 2.20 0.0018 1.000 0.0000
2 2.20 0.0018 1.000 0.0000
3 2.20 0.0018 1.000 0.0000
4 2.20 0.0018 1.000 0.0000
5 2.20 0.0018 1.000 0.0000
6 2.20 0.0018 1.000 0.0000
7 2.20 0.0018 1.000 0.0000
8 2.20 0.0018 1.000 0.0000
9 2.20 0.0018 1.000 0.0000
10 2.20 0.0018 1.000 0.0000
11 2.20 0.0018 1.000 0.0000
12 2.20 0.0018 1.000 0.0000
13 2.20 0.0018 1.000 0.0000
14 2.20 0.0018 1.000 0.0000
15 2.20 0.0018 1.000 0.0000
16 2.20 0.0018 1.000 0.0000
17 2.20 0.0018 1.000 0.0000
18 2.20 0.0018 1.000 0.0000
